Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,830.920000000,10267242207.00
2,litecoin,,21.487400000,547046728.00
3,ripple,,0.020816300,162739539.00
4,peercoin,,5.384250000,113695244.00
5,nxt,,0.058584100,58583984.00
6,dogecoin,,0.001312510,57354911.00
7,omni,,78.983600000,48928603.00
8,namecoin,,5.221160000,41533767.00
9,primecoin,,2.956040000,12718823.00
10,worldcoin,,0.275448000,11943595.00
11,infinitecoin,,0.000110006,9904190.00
12,feathercoin,,0.273293000,8820873.00
13,vertcoin,,5.818030000,8791625.00
14,novacoin,,12.084300000,8384324.00
15,digitalcoin,,0.256603000,3336641.00
16,zetacoin,,0.019577100,3132152.00
17,ixcoin,,0.102679000,1852219.00
18,freicoin,,0.045884100,1698733.00
19,terracoin,,0.272925000,1393907.00
20,fedoracoin,,0.000010774,1363597.00
21,goldcoin,,0.025156000,745073.00
22,bitbar,,62.608300000,600291.00
23,unobtanium,,3.894610000,572282.00
24,deutsche-emark,,0.071223000,297555.00
25,luckycoin,,0.015348800,189088.00
26,diamond,,0.579565000,145744.00
27,phoenixcoin,,0.011731000,111569.00
