Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,463.816000000,6946908498.60
2,ripple,,0.006384000,214103016.53
3,litecoin,,3.755614859,163970745.63
4,ethereum,,0.921171783,69616990.99
5,dogecoin,,0.000160540,16419763.57
6,dash,,2.648353739,16076275.22
7,peercoin,,0.447012602,10211154.46
8,bitshares,,0.003624992,9191502.08
9,stellar,,0.001841350,8907264.26
10,maidsafecoin,,0.015085000,6826753.14
11,nxt,,0.006525882,6525862.60
12,namecoin,,0.480600116,6326643.96
13,bytecoin,,0.000030922,5505542.18
14,monero,,0.500123070,5208259.65
15,gridcoin-research,,0.011246531,4172914.57
16,clams,,1.827640813,2742499.32
17,blackcoin,,0.029925896,2249008.53
18,emercoin,,0.060163000,2208153.56
19,counterparty,,0.800317056,2104046.35
20,nem,,0.000182421,1641789.08
21,monacoin,,0.061865648,1625779.74
22,primecoin,,0.095209214,1206862.29
23,novacoin,,0.904516983,1126924.14
24,omni,,2.000000000,1099400.00
25,tether,,1.000000000,951600.00
26,digibyte,,0.000142159,791178.33
27,worldcoin,,0.007360532,696618.58
28,blocknet,,0.168606392,658998.25
29,vcash,,0.046270322,575222.42
30,gamecredits,,0.010811226,553399.12
31,digitalnote,,0.000077578,531555.69
32,reddcoin,,0.000018109,505321.96
33,vertcoin,,0.022823804,481929.18
34,solarcoin,,0.013797162,471986.89
35,diamond,,0.314636055,452430.60
36,infinitecoin,,0.000004857,440040.55
37,unobtanium,,2.138817414,420271.21
38,ixcoin,,0.019735371,414440.93
39,feathercoin,,0.003731077,392847.62
40,auroracoin,,0.050970072,384772.41
41,electronicgulden,,0.027670769,381223.75
42,digitalcoin,,0.011905625,342211.76
43,zetacoin,,0.001964486,321040.31
44,curecoin,,0.011996013,314676.23
45,cloakcoin,,0.063485260,292099.49
46,fedoracoin,,0.000001000,280846.32
47,riecoin,,0.013271500,252329.00
48,syscoin,,0.000485476,208148.41
49,maxcoin,,0.004264661,176810.44
50,verge,,0.000017811,165738.65
51,swarm,,0.001558422,155757.13
52,hyperstake,,0.000400567,154537.35
53,siacoin,,0.000018553,152751.86
54,potcoin,,0.000645367,136766.53
55,nav-coin,,0.002193227,130547.97
56,goldcoin,,0.003009631,108376.37
57,viacoin,,0.004400798,84669.80
58,deutsche-emark,,0.004308851,76317.90
59,maza,,0.000086946,74910.34
60,canada-ecoin,,0.000834602,74025.00
61,whitecoin,,0.000227270,69677.33
62,signum,,0.000060296,67222.82
63,groestlcoin,,0.000997204,61246.94
64,artbyte,,0.000096692,57289.52
65,nexus,,0.001821430,55518.00
66,bean-cash,,0.000049746,54259.34
67,pandacoin,,0.000001535,49925.67
68,litedoge,,0.000005000,49914.70
69,terracoin,,0.003710528,49843.08
70,bitmark,,0.043192770,44642.32
71,bitbar,,1.715428114,38137.40
72,freicoin,,0.000758856,34878.99
73,myriadcoin,,0.000029191,32445.24
74,okcash,,0.000515761,31637.92
75,globalboost,,0.062722000,28228.22
76,circuits-of-value,,0.000064689,25875.00
77,einsteinium,,0.000090136,15864.46
78,bitcoin-plus,,0.086232100,6778.00
79,phoenixcoin,,0.000129574,5427.49
80,luckycoin,,0.000278290,5378.31
81,crown,,0.000511171,3283.00
82,unitus,,0.000119689,1271.00
83,agoras-currency-of-tau,,0.214615000,0.00
84,pakcoin,,0.000409688,0.00
85,augur,,2.200000000,0.00
