Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,655.260000000,8115968452.00
2,litecoin,,17.087900000,438109901.00
3,ripple,,0.017247400,134838272.00
4,dogecoin,,0.001885630,91985568.00
5,peercoin,,4.177420000,88316616.00
6,nxt,,0.046475400,46475308.00
7,omni,,74.903000000,46400761.00
8,namecoin,,4.098780000,32826483.00
9,primecoin,,2.224470000,9777760.00
10,infinitecoin,,0.000106429,9591058.00
11,feathercoin,,0.265883000,8782780.00
12,novacoin,,9.489020000,6658321.00
13,worldcoin,,0.149800000,6645680.00
14,vertcoin,,2.821370000,4806486.00
15,digitalcoin,,0.173189000,2289634.00
16,zetacoin,,0.013818700,2211941.00
17,terracoin,,0.332675000,1733134.00
18,unobtanium,,10.717000000,1614527.00
19,ixcoin,,0.081547600,1480300.00
20,freicoin,,0.037757400,1416867.00
21,maxcoin,,0.667544000,1065208.00
22,goldcoin,,0.019200900,570406.00
23,bitbar,,49.582400000,481962.00
24,digibyte,,0.000678685,335819.00
25,potcoin,,0.015912000,318734.00
26,deutsche-emark,,0.063103600,279521.00
27,luckycoin,,0.014392700,180589.00
28,reddcoin,,0.000020048,163615.00
29,diamond,,0.494411000,129225.00
30,phoenixcoin,,0.008391900,82679.00
