Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,109.867000000,1270257534.00
2,litecoin,,2.743090000,55891913.00
3,ripple,,0.002901300,22682044.00
4,namecoin,,0.646800000,4087545.00
5,feathercoin,,0.155727000,2093166.00
6,primecoin,,0.900946000,1444933.00
7,infinitecoin,,0.000003253,235134.00
8,digitalcoin,,0.030639600,215909.00
9,freicoin,,0.006650090,161396.00
10,worldcoin,,0.007752070,124124.00
11,ixcoin,,0.005610210,82906.00
12,goldcoin,,0.002520050,65031.00
13,phoenixcoin,,0.018282300,63492.00
14,luckycoin,,0.004602460,27521.00
15,bitbar,,2.241270000,11362.00
