Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,582.003800000,9212472965.77
2,ethereum,,11.012543082,917054933.51
3,ripple,,0.006019000,214048121.10
4,litecoin,,3.941628728,186215071.56
5,steem,,1.138713932,139015488.14
6,ethereum-classic,,1.610000000,134026372.34
7,dash,,13.518622733,90380766.55
8,monero,,4.600108355,58539971.50
9,nem,,0.005582736,50244622.88
10,maidsafecoin,,0.101436000,45905106.46
11,lisk,,0.270977405,27097740.47
12,dogecoin,,0.000222997,23576073.95
13,nxt,,0.022365640,22343274.60
14,waves,,0.176662000,17666200.00
15,emercoin,,0.392983000,15070667.76
16,bitshares,,0.005377341,13827293.94
17,stellar,,0.001879872,10627112.96
18,bytecoin,,0.000052307,9478643.64
19,siacoin,,0.000465603,8227741.65
20,peercoin,,0.348759728,8174813.62
21,counterparty,,2.684658994,7046110.36
22,tether,,1.000000000,6951591.00
23,agoras-currency-of-tau,,0.145500950,6111039.90
24,syscoin,,0.010155314,4902817.82
25,fedoracoin,,0.000010000,4334812.01
26,namecoin,,0.275132086,4054456.47
27,decred,,1.477465001,3633680.38
28,digibyte,,0.000313745,2212237.10
29,stratis,,0.022382900,2194518.00
30,blackcoin,,0.028687875,2169415.10
31,gridcoin-research,,0.005242060,1990457.97
32,vcash,,0.125099099,1846114.93
33,omni,,3.270000000,1810759.23
34,solarcoin,,0.048556870,1676837.30
35,feathercoin,,0.011982022,1589448.34
36,monacoin,,0.040264696,1517278.42
37,reddcoin,,0.000040738,1117240.84
38,clams,,0.576626182,1079297.75
39,nexus,,0.025081700,1031742.00
40,primecoin,,0.065126298,1028098.85
41,nav-coin,,0.016306109,971834.55
42,vertcoin,,0.032940946,931741.25
43,auroracoin,,0.105342688,892428.91
44,blocknet,,0.226729453,886629.15
45,novacoin,,0.594088138,873104.60
46,radium,,0.301285295,868575.38
47,digitalnote,,0.000116852,802285.78
48,curecoin,,0.029816374,788085.81
49,lbry-credits,,0.127880000,787869.00
50,worldcoin,,0.007094662,758677.10
51,signum,,0.000331156,512652.98
52,diamond,,0.270009023,466671.44
53,infinitecoin,,0.000004737,429163.22
54,digitalcoin,,0.011270146,387577.98
55,potcoin,,0.001716354,367279.90
56,freicoin,,0.007805893,358779.10
57,riecoin,,0.012613500,329349.00
58,zetacoin,,0.001998930,329222.60
59,freedomcoin,,0.048072100,313163.00
60,myriadcoin,,0.000220860,302291.28
61,circuits-of-value,,0.000727675,291070.00
62,unobtanium,,1.429744902,282115.83
63,cloakcoin,,0.054781000,262455.22
64,swarm,,0.002607377,260595.42
65,electronicgulden,,0.017465864,257801.95
66,viacoin,,0.011594701,251237.98
67,bitmark,,0.151611990,247949.28
68,einsteinium,,0.001169633,236548.25
69,whitecoin,,0.000727505,223041.42
70,verge,,0.000017460,217750.27
71,pandacoin,,0.000005820,189238.05
72,okcash,,0.002805363,186573.29
73,maxcoin,,0.003995312,165643.40
74,pivx,,0.003575730,154870.00
75,groestlcoin,,0.002084583,135268.87
76,maza,,0.000128041,131982.58
77,artbyte,,0.000174601,120823.23
78,pakcoin,,0.003162270,80933.00
79,bean-cash,,0.000052380,79219.77
80,bitbar,,2.855756865,76574.26
81,canada-ecoin,,0.000710045,67834.83
82,bitcoin-plus,,0.650270000,56240.00
83,hyperstake,,0.000145501,56133.70
84,terracoin,,0.002028000,32975.89
85,crown,,0.002635000,25908.51
86,litedoge,,0.000000550,7533.68
87,unitus,,0.000147000,4777.00
88,steem-dollars,,0.880809000,0.00
