Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,68388.871289653,1351942347611.20
2,ethereum,,2649.979289580,318975355966.12
3,tether,,1.000067244,120177060289.75
4,binancecoin,,598.058451571,87250625179.79
5,solana,,159.592681970,74964939765.95
6,usd-coin,,0.999994503,34984975390.87
7,ripple,,0.544328395,30867246079.88
8,staked-ether,,2648.961275108,25833087793.17
9,dogecoin,,0.144816838,21205835020.11
10,tron,,0.157235800,13606829895.05
11,the-open-network,,5.267823339,13377467388.66
12,cardano,,0.351605069,12560622562.94
13,avalanche-2,,28.109024249,11429011450.29
14,shiba-inu,,0.000019051,11221286803.03
15,wrapped-steth,,3131.195789426,11117058575.56
16,wrapped-bitcoin,,68319.776726038,10042130000.94
17,weth,,2649.738928961,7845365760.16
18,bitcoin-cash,,363.688020288,7191971792.75
19,chainlink,,11.426706001,7162427229.92
20,polkadot,,4.436088700,6328210175.33
21,near,,4.831107103,5875672308.52
22,dai,,1.000094745,5875439682.78
23,sui,,2.064906678,5703624148.50
24,litecoin,,74.858983630,5620919449.97
25,leo-token,,6.075282083,5599990874.03
26,uniswap,,7.325115473,5522591428.40
27,aptos,,9.727364832,5020786801.26
28,wrapped-eeth,,2784.238158288,4473227780.66
29,pepe,,0.000010505,4419014746.91
30,bittensor,,558.082585184,4119209545.84
31,internet-computer,,8.042566598,3798827014.22
32,fetch-ai,,1.407241053,3673723360.39
33,kaspa,,0.129325666,3226927573.14
34,ethereum-classic,,19.891211643,2966969101.19
35,monero,,160.571764871,2962141807.25
36,stellar,,0.097132410,2886386630.91
37,polygon-ecosystem-token,,0.371704681,2826334674.31
38,blockstack,,1.880008200,2814195430.16
39,first-digital-usd,,1.000125820,2758348894.71
40,dogwifcoin,,2.643422688,2637080397.99
41,immutable-x,,1.577129628,2582983075.88
42,whitebit,,17.673485896,2564138936.15
43,ethena-usde,,1.000063604,2513095513.43
44,okb,,40.499472106,2429720323.84
45,aave,,158.068137622,2363248297.98
46,filecoin,,3.768327793,2234050734.39
47,injective-protocol,,22.260746611,2177094172.76
48,optimism,,1.693443488,2125164517.18
49,crypto-com-chain,,0.077896714,2106039241.78
50,render-token,,5.368341217,2105749954.11
51,mantle,,0.616086876,2074450603.28
52,arbitrum,,0.567080738,2051225247.47
53,fantom,,0.721071954,2022483360.35
54,hedera-hashgraph,,0.053551325,2018368290.86
55,vechain,,0.023243169,1882394820.26
56,cosmos,,4.464823829,1744336388.02
57,thorchain,,4.937164095,1665724504.89
58,sei-network,,0.435652031,1633546193.04
59,bonk,,0.000023495,1632162759.51
60,binance-peg-weth,,2651.213407026,1603983698.76
61,the-graph,,0.167193612,1596425073.04
62,bitget-token,,1.139632249,1595900256.23
63,floki,,0.000158623,1536201587.50
64,rocket-pool-eth,,2966.151750558,1436026279.89
65,worldcoin-wld,,2.454972727,1349106210.03
66,theta-token,,1.299247599,1299329816.39
67,mantle-staked-ether,,2763.389823161,1292292844.44
68,celestia,,5.867385516,1281815182.88
69,mantra-dao,,1.500860143,1276092936.38
70,pyth-network,,0.347945859,1261296480.00
71,popcat,,1.261836743,1236573093.26
72,arweave,,18.878611453,1235684136.71
73,jupiter-exchange-solana,,0.915041198,1231427063.30
74,gatechain-token,,9.055304402,1159605229.11
75,ondo-finance,,0.789838769,1134702513.05
76,helium,,6.491837595,1112016271.07
77,ethena,,0.401880611,1103839333.90
78,solv-btc,,68328.351938649,1091953302.97
79,kucoin-shares,,8.906510687,1071541705.34
80,maker,,1215.886680619,1056997720.05
81,based-brett,,0.106601829,1056118182.17
82,algorand,,0.123404513,1027050237.21
83,lido-dao,,1.138974412,1019739911.49
84,bitcoin-cash-sv,,50.348063150,995703049.62
85,matic-network,,0.371635735,995028301.98
86,quant-network,,65.672189758,955136856.58
87,jasmycoin,,0.019288767,933962102.47
88,gala,,0.023178680,921721781.63
89,ether-fi-staked-eth,,2640.813971557,921562115.60
90,bittorrent,,0.000000933,903693414.04
91,beam-2,,0.017436931,900797616.34
92,fasttoken,,2.659098997,876411640.83
93,coredaoorg,,0.950879120,871037180.93
94,aerodrome-finance,,1.313911763,867065221.43
95,flow,,0.561198022,863590132.88
96,notcoin,,0.008262335,846547709.47
97,msol,,195.652745863,830493086.64
98,mog-coin,,0.000002050,800634955.51
99,renzo-restaked-eth,,2714.474706090,800586370.05
100,neiro-3,,0.001902708,800449835.79
101,starknet,,0.408245380,791730076.42
102,pendle,,4.870994223,783868027.43
103,wormhole,,0.290147612,780538588.80
104,ordinals,,37.118447558,779511472.52
105,axie-infinity,,5.103993405,777890928.12
106,cat-in-a-dogs-world,,0.008744043,777087727.39
107,klay-token,,0.129619144,758142839.52
108,usdd,,1.000980257,753310323.71
109,neo,,10.640797516,750199028.99
110,eos,,0.489971678,743110218.86
111,turbo,,0.010737794,741039155.46
112,flare-networks,,0.014686861,740123994.08
113,elrond-erd-2,,26.764075354,736618109.98
114,conflux-token,,0.161911163,733511662.74
115,tokenize-xchange,,9.103694918,728264989.96
116,axelar,,0.882011544,719844716.97
117,ecash,,0.000035949,709262778.17
118,lombard-staked-btc,,68822.864932724,703194029.39
119,tezos,,0.692566433,698232624.46
120,eigenlayer,,3.721854545,698090675.09
121,chiliz,,0.074214647,676793561.10
122,mina-protocol,,0.575909559,674142543.93
123,tether-gold,,2725.023970872,671975757.82
124,nervos-network,,0.014939384,671513967.95
125,the-sandbox,,0.280863040,670508916.83
