Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,639.030000000,7994472985.00
2,litecoin,,17.024600000,451703565.00
3,auroracoin,,25.112300000,266638660.00
4,ripple,,0.014361300,112275061.00
5,peercoin,,3.329080000,70644542.00
6,dogecoin,,0.000921094,54779607.00
7,omni,,74.127100000,45920108.00
8,nxt,,0.042386700,42386578.00
9,namecoin,,3.429560000,28282184.00
10,counterparty,,4.560530000,12079298.00
11,feathercoin,,0.215240000,7793658.00
12,primecoin,,1.399230000,6677598.00
13,infinitecoin,,0.000062534,5650123.00
14,novacoin,,7.302720000,5354466.00
15,worldcoin,,0.068718900,3309565.00
16,vertcoin,,1.284150000,3255770.00
17,dash,,0.811288000,2976105.00
18,maxcoin,,0.158117000,1515798.00
19,maza,,0.009764100,1218950.00
20,zetacoin,,0.007598850,1217031.00
21,ixcoin,,0.061666100,1147727.00
22,freicoin,,0.026911400,1064614.00
23,terracoin,,0.175962000,986438.00
24,digitalcoin,,0.055182800,769529.00
25,fedoracoin,,0.000003726,694278.00
26,unobtanium,,4.058450000,664766.00
27,reddcoin,,0.000042731,619993.00
28,blackcoin,,0.006607600,492127.00
29,potcoin,,0.010317500,474203.00
30,goldcoin,,0.011788200,355093.00
31,bitbar,,33.045500000,341100.00
32,digibyte,,0.000402534,309137.00
33,riecoin,,0.324941000,289749.00
34,myriadcoin,,0.003109750,168045.00
35,deutsche-emark,,0.019103500,104584.00
36,luckycoin,,0.005620950,74828.00
37,diamond,,0.193276000,58468.00
38,phoenixcoin,,0.003248540,36108.00
39,pandacoin,,0.000001854,34757.00
