Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,473.864000000,7388724420.00
2,ethereum,,11.191744762,900334792.36
3,litecoin,,4.566557316,209939714.03
4,ripple,,0.005676000,197914624.63
5,dash,,7.508926584,48630526.79
6,lisk,,0.360173300,36017330.01
7,maidsafecoin,,0.055355000,25051038.77
8,dogecoin,,0.000221517,23149991.85
9,steem,,0.464486231,18429949.72
10,fedoracoin,,0.000035000,14831798.12
11,nem,,0.001543226,13889036.22
12,monero,,0.859155721,10301163.68
13,peercoin,,0.362364314,8407945.34
14,bitshares,,0.003280954,8397469.78
15,stellar,,0.001421592,7798398.23
16,bytecoin,,0.000034396,6202422.81
17,nxt,,0.006120015,6119997.31
18,emercoin,,0.156598000,5917912.02
19,namecoin,,0.362101327,5214313.42
20,agoras-currency-of-tau,,0.113608894,4771573.55
21,counterparty,,1.425578725,3744983.91
22,siacoin,,0.000255887,3679349.57
23,solarcoin,,0.080546849,2763408.54
24,gridcoin-research,,0.006791625,2557855.62
25,decred,,1.340719437,2344192.97
26,syscoin,,0.005233627,2243925.17
27,digibyte,,0.000302940,1981237.70
28,tether,,1.000000000,1951591.00
29,blackcoin,,0.023957381,1807957.13
30,feathercoin,,0.013374059,1645490.16
31,vcash,,0.104604233,1494569.38
32,auroracoin,,0.180068320,1464627.46
33,monacoin,,0.036721885,1235706.10
34,clams,,0.680010738,1185024.11
35,novacoin,,0.764573844,1062241.56
36,primecoin,,0.067810099,994013.72
37,reddcoin,,0.000033238,934306.55
38,omni,,1.580000000,873288.12
39,vertcoin,,0.032050448,739616.98
40,infinitecoin,,0.000007508,680234.40
41,worldcoin,,0.006195153,640175.39
42,radium,,0.222093830,615865.08
43,nexus,,0.015383500,580582.00
44,swarm,,0.005302538,529964.46
45,digitalnote,,0.000072916,500262.97
46,curecoin,,0.018795567,496791.45
47,zetacoin,,0.002809672,460916.54
48,digitalcoin,,0.012845360,427677.43
49,diamond,,0.236932000,385649.48
50,cloakcoin,,0.076206808,363106.85
51,unobtanium,,1.801521107,355067.20
52,verge,,0.000028432,326839.46
53,circuits-of-value,,0.000777939,311175.00
54,freicoin,,0.006747437,310129.70
55,signum,,0.000202848,290083.97
56,blocknet,,0.071693107,280357.04
57,riecoin,,0.010663800,252023.00
58,nav-coin,,0.003863866,230284.13
59,maxcoin,,0.004282718,177559.07
60,pandacoin,,0.000004739,154076.49
61,potcoin,,0.000653621,139275.75
62,myriadcoin,,0.000086074,113655.41
63,electronicgulden,,0.007774349,112590.49
64,viacoin,,0.005318380,111750.22
65,freedomcoin,,0.015770200,102536.00
66,okcash,,0.001536436,99201.34
67,hyperstake,,0.000246409,95063.74
68,artbyte,,0.000141486,94341.93
69,pakcoin,,0.003815150,93519.00
70,pivx,,0.002467310,90415.00
71,whitecoin,,0.000293796,90073.10
72,groestlcoin,,0.001349982,86123.29
73,maza,,0.000085296,82794.15
74,bitbar,,2.536869914,63710.95
75,bitmark,,0.053181757,59595.48
76,einsteinium,,0.000246466,48869.94
77,bean-cash,,0.000033217,45400.06
78,litedoge,,0.000003000,41092.79
79,terracoin,,0.002106000,32037.99
80,bitcoin-plus,,0.374309000,31832.00
81,canada-ecoin,,0.000236932,22274.04
82,unitus,,0.000123233,3346.00
83,crown,,0.000308000,2699.87
