Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,534.224000000,8335577205.60
2,ethereum,,12.678431069,1021153612.03
3,litecoin,,4.605977078,211939664.16
4,ripple,,0.005754000,200634381.62
5,dash,,8.120600817,52643776.22
6,lisk,,0.352656456,35265645.60
7,maidsafecoin,,0.071193000,32218563.87
8,dogecoin,,0.000228817,23922298.10
9,steem,,0.479214955,20270835.71
10,nem,,0.001627879,14650913.23
11,monero,,0.895439195,10760191.05
12,fedoracoin,,0.000025000,10602258.22
13,bitshares,,0.003281555,8400550.02
14,peercoin,,0.359275334,8338108.65
15,stellar,,0.001453089,7971182.22
16,bytecoin,,0.000037460,6756134.95
17,emercoin,,0.165581000,6259724.30
18,nxt,,0.006169947,6169929.05
19,namecoin,,0.358892075,5176426.02
20,agoras-currency-of-tau,,0.112245805,4714323.79
21,siacoin,,0.000293823,4253605.47
22,counterparty,,1.615165457,4242981.51
23,solarcoin,,0.082179678,2819631.10
24,decred,,1.479034815,2620098.34
25,syscoin,,0.005184158,2222715.37
26,gridcoin-research,,0.005730517,2158892.39
27,feathercoin,,0.017021348,2099863.11
28,blackcoin,,0.027020252,2038850.61
29,digibyte,,0.000298108,1954915.71
30,tether,,1.000000000,1951591.00
31,vcash,,0.102930262,1470651.94
32,auroracoin,,0.160379387,1306262.36
33,monacoin,,0.037807015,1277415.85
34,reddcoin,,0.000042604,1197708.40
35,clams,,0.668484613,1167837.94
36,primecoin,,0.070658149,1038596.86
37,novacoin,,0.730854093,1017276.54
38,omni,,1.600000000,884403.20
39,vertcoin,,0.032562708,751438.22
40,radium,,0.255336640,709099.72
41,infinitecoin,,0.000007673,695130.45
42,worldcoin,,0.006375830,659626.07
43,circuits-of-value,,0.001611620,644648.00
44,digitalnote,,0.000082119,563413.10
45,zetacoin,,0.003208970,526419.98
46,curecoin,,0.019104190,504948.77
47,nexus,,0.012206500,462161.00
48,digitalcoin,,0.013183707,439631.83
49,swarm,,0.004284476,428213.85
50,diamond,,0.262517674,427982.30
51,cloakcoin,,0.084156307,401073.81
52,unobtanium,,1.923211067,379072.59
53,freicoin,,0.007261160,333741.77
54,verge,,0.000026711,308349.59
55,nav-coin,,0.005085825,303112.17
56,signum,,0.000191032,273186.60
57,blocknet,,0.068502234,267879.08
58,riecoin,,0.011028600,261596.00
59,maxcoin,,0.004917099,203860.13
60,pandacoin,,0.000005342,173702.49
61,potcoin,,0.000712019,151728.52
62,freedomcoin,,0.020530400,133487.00
63,myriadcoin,,0.000096320,127335.00
64,okcash,,0.001811051,117005.77
65,viacoin,,0.005493062,115568.59
66,whitecoin,,0.000309850,94995.07
67,artbyte,,0.000139819,93351.11
68,electronicgulden,,0.006412953,92959.10
69,groestlcoin,,0.001387320,88560.16
70,hyperstake,,0.000224374,86562.64
71,pivx,,0.002289410,84273.00
72,maza,,0.000085476,83143.12
73,bitbar,,2.673225733,67239.65
74,bitmark,,0.053422400,59865.14
75,pakcoin,,0.002272710,55719.00
76,bean-cash,,0.000037551,51507.04
77,einsteinium,,0.000259478,51466.26
78,terracoin,,0.002578000,39303.47
79,bitcoin-plus,,0.383475000,32628.00
80,litedoge,,0.000002000,27395.19
81,canada-ecoin,,0.000251085,23614.69
82,crown,,0.000472000,4139.65
83,unitus,,0.000138595,3790.00
