Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,741.166246518,11861151745.21
2,ethereum,,9.753493133,841238275.54
3,ripple,,0.007049000,252813051.58
4,litecoin,,3.911739468,190000438.30
5,monero,,7.891799258,105779404.42
6,ethereum-classic,,0.816471000,70357151.29
7,dash,,8.423384488,58142125.03
8,augur,,4.390000000,48290000.00
9,maidsafecoin,,0.073787000,33392484.82
10,nem,,0.003680875,33127879.27
11,waves,,0.268478000,26847800.00
12,steem,,0.110865223,24476102.07
13,dogecoin,,0.000215179,23024797.46
14,lisk,,0.163360073,16336007.34
15,stellar,,0.001732000,11866545.12
16,bitshares,,0.004026720,10376293.40
17,ardor,,0.010107000,10096887.00
18,bytecoin,,0.000048906,8897769.04
19,neo,,0.167078000,8353900.00
20,tether,,1.000000000,6951590.00
21,emercoin,,0.171487000,6684877.60
22,nxt,,0.006493967,6487473.23
23,stratis,,0.064707800,6351905.00
24,zcash,,81.630000000,6228287.37
25,peercoin,,0.259882538,6148886.85
26,siacoin,,0.000274232,5677212.79
27,counterparty,,2.153683162,5645251.53
28,agoras-currency-of-tau,,0.121921856,5120717.97
29,syscoin,,0.009761185,4779252.89
30,namecoin,,0.214795445,3165311.59
31,vcash,,0.191728347,2874030.74
32,omni,,3.990000000,2214402.12
33,decred,,0.659525038,2100944.71
34,blackcoin,,0.027370291,2074661.03
35,potcoin,,0.009628024,2068205.75
36,digibyte,,0.000260756,1973598.13
37,solarcoin,,0.055913586,1941564.43
38,gridcoin-research,,0.004473289,1713349.32
39,nav-coin,,0.026315623,1587388.85
40,nexus,,0.034953300,1548446.00
41,clams,,0.715873923,1438795.63
42,steem-dollars,,0.987833000,1287776.00
43,reddcoin,,0.000044467,1257496.39
44,digitalnote,,0.000163343,1122323.35
45,auroracoin,,0.125664746,1088022.84
46,radium,,0.337811742,1020594.81
47,monacoin,,0.023733579,994187.75
48,blocknet,,0.242742817,949249.67
49,primecoin,,0.055527687,940160.09
50,fedoracoin,,0.000002000,886336.36
51,signum,,0.000540795,884922.43
52,feathercoin,,0.006187817,884437.79
53,curecoin,,0.033421074,883362.76
54,worldcoin,,0.007520044,829926.38
55,vertcoin,,0.026562494,822039.46
56,novacoin,,0.415033309,646348.80
57,goldcoin,,0.015119793,602048.49
58,cloakcoin,,0.112027000,540903.10
59,viacoin,,0.020155882,445074.24
60,lbry-credits,,0.015726359,436482.22
61,diamond,,0.230532366,426044.79
62,zetacoin,,0.002550190,421101.47
63,freicoin,,0.009085047,417572.31
64,riecoin,,0.013104400,376306.00
65,unobtanium,,1.853286333,366001.81
66,freedomcoin,,0.052476000,342252.98
67,digitalcoin,,0.009723742,334397.48
68,infinitecoin,,0.000003450,312538.17
69,pivx,,0.006431760,311557.00
70,verge,,0.000022235,284462.53
71,okcash,,0.004076490,279659.34
72,circuits-of-value,,0.000691751,276700.00
73,bitmark,,0.097063139,267050.49
74,zcoin,,0.630248000,259189.49
75,pandacoin,,0.000007412,240989.61
76,electronicgulden,,0.014882529,222740.88
77,einsteinium,,0.001022809,209673.48
78,maza,,0.000177880,194354.82
79,zclassic,,1.335570000,173006.00
80,bitcoin-plus,,1.602105074,140998.06
81,crown,,0.011212000,127776.36
82,groestlcoin,,0.001615743,106478.50
83,maxcoin,,0.002545335,105528.16
84,whitecoin,,0.000333525,102253.43
85,bitbar,,3.174536513,90998.09
86,artbyte,,0.000088940,63886.32
87,bean-cash,,0.000037078,61617.24
88,terracoin,,0.003375000,59048.66
89,canada-ecoin,,0.000578110,56092.20
90,pakcoin,,0.001773820,50254.00
91,litedoge,,0.000002000,27395.19
92,globalboost,,0.001502000,12198.63
93,unitus,,0.000186000,7001.03
94,golem,,0.013176400,0.00
