Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,7274.768503793,131230049166.53
2,ethereum,,132.741361117,14431239759.79
3,ripple,,0.195506944,8433452995.45
4,tether,,1.000863574,4294101801.69
5,bitcoin-cash,,189.111353613,3432235118.04
6,litecoin,,40.806694313,2594814106.79
7,eos,,2.459365426,2343157824.33
8,binancecoin,,13.491954853,2070675410.04
9,bitcoin-cash-sv,,85.921525730,1565227317.38
10,tezos,,1.593771388,1105739757.20
11,cardano,,0.034291358,1068083106.44
12,stellar,,0.046849376,932663423.34
13,tron,,0.013359757,879977763.10
14,leo-token,,0.876912659,869683416.63
15,monero,,47.788472621,830527013.52
16,cosmos,,4.303298170,822136067.65
17,okb,,2.533215967,722483567.41
18,chainlink,,1.874041902,681032594.18
19,huobi-token,,2.685123435,646679471.55
20,neo,,8.792807182,619086766.38
21,usd-coin,,0.999454310,475749306.18
22,iota,,0.158172581,438944421.75
23,ethereum-classic,,3.767027726,436117886.42
24,crypto-com-chain,,0.033150739,412321936.78
25,dash,,44.394689050,408567269.79
26,ontology,,0.555544829,352473252.16
27,maker,,459.129550490,341113867.02
28,vechain,,0.005305602,334414375.63
29,nem,,0.033687166,295006053.59
30,dogecoin,,0.002123610,259489856.44
31,paxos-standard,,0.999876465,241024781.21
32,zcash,,29.294967870,238501107.85
33,basic-attention-token,,0.167638772,236221271.16
34,decred,,16.996458431,183999823.53
35,qtum,,1.681761790,161266007.58
36,true-usd,,0.997065171,155551724.40
37,algorand,,0.244547709,124733561.51
38,0x,,0.200217851,120759909.29
39,havven,,1.362881239,120741990.81
40,holotoken,,0.000653368,115916140.09
41,ravencoin,,0.022596950,115237501.34
42,augur,,9.985402561,109584183.80
43,bytom,,0.070360464,109152242.12
44,nervos-network,,0.008138395,102900242.85
45,theta-token,,0.100129878,99973041.52
46,bitcoin-gold,,5.391628590,94609391.06
47,nano,,0.703801109,93801097.66
48,omisego,,0.658071992,92262347.23
49,waves,,0.865737303,86516545.52
50,digibyte,,0.006549150,82628399.08
51,v-systems,,0.042173210,78946575.82
52,lisk,,0.554398131,75801630.59
53,kucoin-shares,,0.914844529,75456317.96
54,gatechain-token,,0.345570467,70187131.70
55,enjincoin,,0.077380742,68959719.75
56,bitcoin-diamond,,0.358066130,67477811.58
57,swipe,,1.092853087,65405941.71
58,verge,,0.004043755,64969471.53
59,komodo,,0.536613341,63071828.20
60,iostoken,,0.005150380,61759988.55
61,bittorrent-old,,0.000292041,61565028.42
62,icon,,0.118908082,60649213.71
63,siacoin,,0.001421836,59896917.40
64,zencash,,7.340817353,58999089.37
65,bytecoin,,0.000317177,58584503.68
66,monacoin,,0.784647498,57023701.39
67,dxchain,,0.001107718,55298948.61
68,ftx-token,,1.895636386,54705814.61
69,nexo,,0.093717818,52372665.25
70,energi,,2.230502331,51985957.89
71,maidsafecoin,,0.113210993,51104998.63
72,hshare,,1.128837812,50347044.20
73,dai,,1.001236941,47881989.88
74,zilliqa,,0.005089656,47259717.05
75,aeternity,,0.137708122,46879765.00
76,sai,,0.997621895,45700812.74
77,blockstack,,0.096245159,44887001.47
78,bitshares,,0.016141583,43883500.53
79,ardor,,0.043444254,43422838.97
80,steem,,0.130218803,42257881.52
81,lambda,,0.028472178,40380243.14
82,terra-luna,,0.214241427,40043862.38
83,kyber-network,,0.219141251,37133116.81
84,electroneum,,0.003742883,37073253.61
85,quant-network,,3.702204059,36889720.23
86,stratis,,0.368736118,36739810.28
87,tomochain,,0.546766935,36653514.22
88,asd,,0.046314512,36410449.33
89,decentraland,,0.026181311,34753508.38
90,status,,0.009421735,33560543.08
91,digitex-futures-exchange,,0.038584475,32922202.90
92,matic-network,,0.012671161,32299983.21
93,pundi-x,,0.000132887,31359348.17
94,enigma,,0.398558680,31293287.22
95,golem,,0.031158003,30691665.77
96,iexec-rlc,,0.423522270,29671459.76
97,chiliz,,0.007779729,29594693.04
98,grin,,1.029944929,29514443.53
99,crypterium,,0.341034670,28978065.07
100,beam,,0.559101208,27776455.29
101,zcoin,,3.067482430,27720658.64
102,rif-token,,0.049892305,27178935.67
103,republic-protocol,,0.032020526,27116779.24
104,solve-care,,0.098329884,26430119.45
105,gxchain,,0.406243195,26411528.94
106,metaverse-etp,,0.334965830,25903054.41
107,neon-exchange,,0.902574308,25615522.42
108,aelf,,0.052299301,24110765.00
109,xmax,,0.000889755,24044104.44
110,numeraire,,5.558548450,23760184.83
111,fantom,,0.010755734,22608417.23
112,telos,,0.064377223,22422457.41
113,wink,,0.000104396,21799423.29
114,ripio-credit-network,,0.042149804,21465031.78
115,ark,,0.149716692,21427924.15
116,elastos,,1.471799652,21328008.37
117,celsius-degree-token,,0.073294874,20678128.36
118,loopring,,0.021132100,20335525.95
119,wanchain,,0.191602290,20281152.17
120,nuls,,0.255217840,20259287.03
121,hedera-hashgraph,,0.019520275,20063789.70
122,revain,,0.041308169,20001517.68
123,constellation-labs,,0.016783111,19900129.72
124,aion,,0.053192483,19764001.01
125,funfair,,0.003271117,19742807.46
