Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,8610.635803741,158042623264.39
2,ethereum,,205.556005411,22894189506.37
3,ripple,,0.213100498,9449611235.49
4,tether,,0.999778795,7699585322.26
5,bitcoin-cash,,248.994504354,4604740584.16
6,bitcoin-cash-sv,,207.254648415,3823490333.30
7,litecoin,,46.192292381,2985326129.79
8,eos,,2.824261921,2655961777.71
9,binancecoin,,16.980873751,2521986646.10
10,tezos,,2.746093445,1949795564.17
11,cardano,,0.048008345,1509035250.67
12,okb,,5.311409819,1505202276.97
13,stellar,,0.067784866,1393622535.62
14,chainlink,,3.701851592,1353940282.12
15,monero,,62.076215460,1094705897.79
16,leo-token,,1.055387430,1037336812.17
17,tron,,0.015246801,1013846525.08
18,huobi-token,,4.188010609,979224142.58
19,crypto-com-chain,,0.057923004,961512128.36
20,dash,,80.715673382,763112884.13
21,ethereum-classic,,6.436108815,753209055.85
22,usd-coin,,0.998610845,726339842.30
23,neo,,8.867008603,626489371.18
24,cosmos,,2.728200584,512715438.39
25,iota,,0.176247350,492853338.75
26,zcash,,44.852600147,409072720.40
27,nem,,0.040589195,368231391.12
28,ontology,,0.488960032,313140948.32
29,ftx-token,,3.085505464,311468325.58
30,dogecoin,,0.002442312,303753871.60
31,maker,,335.371898513,298767695.16
32,vechain,,0.004524952,291781121.78
33,basic-attention-token,,0.182209398,266120223.48
34,paxos-standard,,0.998258644,254768997.80
35,digibyte,,0.015143132,198211401.20
36,binance-usd,,0.998489388,176085726.01
37,bitcoin-gold,,9.865841543,172932446.90
38,lisk,,1.212392073,169438501.90
39,algorand,,0.211280970,157917696.90
40,decred,,13.244967899,152167156.10
41,icon,,0.280283954,151771560.32
42,qtum,,1.533930272,148060255.74
43,hive,,0.414830994,147744857.61
44,hedera-hashgraph,,0.035327495,141171634.60
45,true-usd,,0.997927122,137119269.99
46,husd,,1.000927760,135184301.50
47,0x,,0.199200769,130473752.53
48,enjincoin,,0.136365452,125011871.06
49,kyber-network,,0.684090272,124635680.30
50,theta-token,,0.118227009,118618250.88
51,ravencoin,,0.019156613,116395585.23
52,augur,,10.567940375,116004553.59
53,bitcoin-diamond,,0.572954686,108004539.26
54,bytom,,0.067475588,107140646.89
55,waves,,1.052041587,105294378.15
56,omisego,,0.741265916,104132111.12
57,dai,,1.015752336,101749293.03
58,monacoin,,1.373503632,100086959.20
59,numeraire,,20.693837401,96132573.87
60,siacoin,,0.002122744,92881236.76
61,energi,,3.369299122,91067399.32
62,gatechain-token,,0.460372547,90031498.00
63,tether-gold,,1700.624301515,85537062.76
64,dxchain,,0.001650342,83667730.42
65,nano,,0.621345107,83250209.46
66,status,,0.020914258,79047794.68
67,kucoin-shares,,0.948743979,77795199.38
68,havven,,0.760459348,71725367.34
69,nervos-network,,0.004631058,66343660.13
70,blockstack,,0.102916398,65313149.37
71,steem,,0.184050871,64864822.99
72,komodo,,0.534104052,64153792.47
73,holotoken,,0.000355223,63223308.45
74,compound-ether,,4.119545114,62954926.88
75,uma,,1.230328276,62771064.70
76,nexo,,0.108558365,60894700.28
77,republic-protocol,,0.067907898,59011023.81
78,zilliqa,,0.005402002,56822033.82
79,streamr-xdata,,0.080646566,55809644.61
80,bittorrent-old,,0.000256773,54793523.04
81,bitshares,,0.019477913,52788961.35
82,zencash,,5.868501359,52583726.50
83,celsius-degree-token,,0.112769168,51620298.80
84,v-systems,,0.025649681,51019545.13
85,quant-network,,5.096875513,50886003.34
86,hshare,,1.125353343,50169639.45
87,ethlend,,0.041891297,49881348.73
88,verge,,0.003009176,49027723.36
89,bytecoin,,0.000260310,47914409.05
90,maidsafecoin,,0.100681694,45563743.54
91,iostoken,,0.003683914,44507838.73
92,unibright,,0.308012272,44185184.52
93,matic-network,,0.015435200,42771682.54
94,decentraland,,0.031513521,42171994.42
95,golem,,0.042521703,41590335.59
96,tokenize-xchange,,0.517209882,41505755.91
97,digitex-futures-exchange,,0.047036614,40494384.80
98,zcoin,,3.976183048,40182380.50
99,kusama,,5.105203059,39189957.34
100,loopring,,0.033471319,39006085.11
101,aeternity,,0.109526844,38873046.01
102,ardor,,0.037723939,37886318.63
103,terra-luna,,0.190856417,36182055.93
104,rif-token,,0.060180035,36172139.43
105,swipe,,0.572624288,35845984.86
106,electroneum,,0.003636608,35725235.14
107,handshake,,0.131582181,35560728.65
108,chiliz,,0.007217010,34672734.05
109,ripio-credit-network,,0.068137424,34642106.78
110,aragon,,1.006822488,34151243.32
111,aion,,0.081954419,33908461.58
112,aelf,,0.070500211,32508197.64
113,compound-usd-coin,,0.021006269,32116743.98
114,asd,,0.040911500,32111603.07
115,stratis,,0.317536393,31778181.66
116,thunder-token,,0.005668717,30853510.78
117,waykichain,,0.159317160,30224029.27
118,reddcoin,,0.000996867,29415769.06
119,wax,,0.030462853,28928909.75
120,pundi-x,,0.000120603,28335581.91
121,ark,,0.188640195,28149428.21
122,power-ledger,,0.064394409,27918708.00
123,gxchain,,0.426817232,27858484.84
124,wazirx,,0.141244055,26467840.17
125,tomochain,,0.354708551,25043556.77
