Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,48189.881793040,945579645769.01
2,ethereum,,2505.076808454,300920593632.26
3,tether,,1.000470779,96520553678.62
4,binancecoin,,320.510494897,49303061990.44
5,solana,,107.423812536,46970508598.61
6,ripple,,0.525879876,28661350039.67
7,usd-coin,,1.000280164,27931484484.39
8,staked-ether,,2508.876669348,24091805069.27
9,cardano,,0.540770144,18986241812.05
10,avalanche-2,,39.699309214,14570747399.49
11,chainlink,,20.111250593,11797544090.94
12,dogecoin,,0.081093413,11595723394.19
13,tron,,0.124222292,10943848604.01
14,polkadot,,7.090638702,9423517791.07
15,matic-network,,0.833733147,7737552376.47
16,wrapped-bitcoin,,48079.105809983,7585205935.06
17,the-open-network,,2.083583369,7202813878.95
18,internet-computer,,12.935795808,5919349337.26
19,shiba-inu,,0.000009389,5533872154.38
20,bitcoin-cash,,276.349148839,5431427554.73
21,litecoin,,71.513228891,5306567003.28
22,uniswap,,6.673339947,5029769053.56
23,dai,,0.998693306,4913412792.19
24,leo-token,,4.102259731,3805728389.34
25,immutable-x,,2.757862572,3734207116.82
26,cosmos,,9.730628176,3732162713.73
27,ethereum-classic,,25.871030143,3704857585.66
28,optimism,,3.527182521,3376259793.50
29,bittensor,,536.248814866,3330089874.03
30,near,,3.119912607,3225954005.60
31,kaspa,,0.141624174,3206698603.76
32,celestia,,19.404664349,3178753131.98
33,stellar,,0.111031021,3152342523.61
34,injective-protocol,,34.990496971,3090342045.20
35,aptos,,9.043614788,3063889092.78
36,okb,,49.733874106,2983489177.81
37,first-digital-usd,,1.004766489,2772508113.20
38,filecoin,,5.299266882,2682835299.65
39,blockstack,,1.842716196,2649624898.09
40,hedera-hashgraph,,0.078191181,2631582007.74
41,lido-dao,,2.879809978,2565244915.67
42,arbitrum,,1.938041700,2472669417.18
43,crypto-com-chain,,0.086339931,2289572468.74
44,vechain,,0.030176297,2193023359.07
45,monero,,120.709966576,2190253389.80
46,mantle,,0.654486176,2070561629.74
47,sui,,1.695569232,1974568215.13
48,maker,,2026.128131385,1870609232.01
49,render-token,,4.628501532,1740360991.12
50,sei-network,,0.676914111,1639934788.49
51,bitcoin-cash-sv,,80.609071436,1579099587.98
52,the-graph,,0.167056599,1567956280.51
53,thorchain,,5.163607220,1553072579.83
54,rocket-pool-eth,,2756.143801440,1545839739.44
55,quant-network,,102.825413876,1494116019.90
56,elrond-erd-2,,55.754437234,1480926507.28
57,true-usd,,0.982506951,1462195741.77
58,mina-protocol,,1.373376197,1450838105.33
59,algorand,,0.176632442,1410974205.15
60,ordinals,,61.587292088,1292333094.57
61,beam-2,,0.024998592,1283570654.60
62,aave,,87.084009553,1281966255.98
63,tokenize-xchange,,15.673877784,1251603582.47
64,dydx-chain,,2.881986973,1224351922.54
65,flow,,0.819043207,1217758503.52
66,mantle-staked-ether,,2554.970733238,1183025057.29
67,helium,,8.067892870,1160782279.05
68,flare-networks,,0.033350627,1145430601.21
69,havven,,3.469096898,1136195502.62
70,fantom,,0.386064897,1081290359.49
71,the-sandbox,,0.467335577,1045449501.96
72,dymension,,7.102494680,1038365791.35
73,osmosis,,1.629682554,1033360464.94
74,astar,,0.185125814,1029299944.95
75,axie-infinity,,7.475353127,1026117620.14
76,kucoin-shares,,10.589740789,1023085775.20
77,theta-token,,1.017502277,1015457193.16
78,bittorrent,,0.000001008,976758636.16
79,whitebit,,6.594418231,949081565.89
80,tezos,,1.030630876,930189788.64
81,bitget-token,,0.662973926,925680108.17
82,cheelee,,16.798749651,904371602.69
83,sats-ordinals,,0.000000430,899855977.13
84,chiliz,,0.100118795,890494696.79
85,decentraland,,0.470551847,868003368.39
86,dydx,,2.874416469,863007320.73
87,apecoin,,1.427573567,850794540.31
88,pyth-network,,0.564177127,845584302.98
89,eos,,0.733835410,835924840.38
90,neo,,11.713244946,825966134.40
91,conflux-token,,0.219791290,823222639.64
92,blur,,0.615356879,802165404.51
93,oasis-network,,0.119200876,799812677.98
94,wemix-token,,2.240008603,797798499.88
95,ronin,,2.696325453,797242426.41
96,gala,,0.023773533,790381903.42
97,iota,,0.251622333,787869478.00
98,frax-ether,,2504.651809607,779833543.83
99,kava,,0.716337563,775065218.53
100,klay-token,,0.221053047,771410932.37
101,bonk,,0.000012313,748945695.16
102,usdd,,0.999235953,738957702.67
103,manta-network,,2.841775339,713211249.97
104,akash-network,,3.081612894,700968560.11
105,frax-share,,8.989990884,688725291.09
106,woo-network,,0.377350482,687642087.89
107,jupiter-exchange-solana,,0.504628100,680776654.15
108,msol,,125.465356393,674643463.99
109,gnosis,,255.225170028,661221689.56
110,fetch-ai,,0.632209001,656991777.10
111,ethereum-name-service,,21.360048396,656698196.78
112,terra-luna,,0.000113417,655019937.97
113,ecash,,0.000033142,651400639.95
114,frax,,0.998603135,648559394.90
115,gatechain-token,,4.709200397,628356923.70
116,sweth,,2569.547085944,608168084.89
117,xdce-crowd-sale,,0.043365720,603892883.37
118,axelar,,1.066682793,601198723.77
119,illuvium,,94.556388837,589903039.26
120,pancakeswap-token,,2.528220258,588530656.25
121,rocket-pool,,28.512756098,571867748.15
122,staked-frax-ether,,2692.638846856,570689224.95
123,arweave,,8.632009646,565152412.75
124,stride,,6.189427656,551539360.14
125,curve-dao-token,,0.490381993,543130414.19
