Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,140.280000000,1650965841.00
2,ripple,,0.014140500,110548871.00
3,litecoin,,2.393150000,51819815.00
4,peercoin,,0.253309000,5175127.00
5,namecoin,,0.506258000,3466374.00
6,feathercoin,,0.114183000,2007149.00
7,novacoin,,3.903820000,1609573.00
8,primecoin,,0.366881000,839414.00
9,terracoin,,0.175795000,673687.00
10,ixcoin,,0.023050400,360975.00
11,digitalcoin,,0.019539700,177951.00
12,worldcoin,,0.006216850,143303.00
13,freicoin,,0.004136100,115240.00
14,goldcoin,,0.004184100,113407.00
15,zetacoin,,0.000606061,81718.00
16,bitbar,,1.989710000,11999.00
17,phoenixcoin,,0.001961580,8005.00
