Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,363.765000000,4906043990.25
2,ripple,,0.004899000,142018346.93
3,litecoin,,3.670841557,123691410.66
4,bitshares,,0.019081117,38160010.37
5,dogecoin,,0.000217847,20773895.53
6,nxt,,0.020192013,20191954.54
7,peercoin,,0.793944087,17358948.35
8,counterparty,,5.511609264,14589863.56
9,dash,,2.520166101,12214433.60
10,maidsafecoin,,0.025426000,11506597.63
11,namecoin,,0.901889487,9240534.21
12,stellar,,0.001754017,6156826.07
13,monero,,0.728303385,3313614.35
14,blackcoin,,0.033472025,2500671.65
15,bytecoin,,0.000010913,1802137.27
16,feathercoin,,0.028048764,1703757.40
17,omni,,2.850000000,1605011.70
18,swarm,,0.012785800,1278580.00
19,zetacoin,,0.007527415,1213080.33
20,primecoin,,0.142898486,1122133.94
21,reddcoin,,0.000040363,1098091.07
22,pandacoin,,0.000032703,1056068.40
23,ixcoin,,0.036538155,767297.82
24,monacoin,,0.051071099,711568.51
25,viacoin,,0.055206689,663140.81
26,vcash,,0.649896000,649896.00
27,worldcoin,,0.008914155,600566.24
28,novacoin,,0.685258027,580271.02
29,vertcoin,,0.058091202,550753.97
30,unobtanium,,2.752126627,529030.29
31,maxcoin,,0.012007964,447181.31
32,emercoin,,0.142913000,428739.00
33,infinitecoin,,0.000004483,406177.63
34,potcoin,,0.002405899,389600.92
35,digitalnote,,0.000045890,305356.73
36,hyperstake,,0.006781548,287351.94
37,bitmark,,0.287697666,265498.91
38,syscoin,,0.000580401,216857.89
39,solarcoin,,0.006002162,201227.83
40,goldcoin,,0.006020336,198817.26
41,digitalcoin,,0.010485321,185474.25
42,digibyte,,0.000070888,183105.56
43,terracoin,,0.023923374,158232.45
44,artbyte,,0.000414892,149923.90
45,signum,,0.000582847,141519.20
46,diamond,,0.185632306,125477.04
47,whitecoin,,0.000412780,125378.99
48,freicoin,,0.002474381,113728.95
49,deutsche-emark,,0.007260420,102060.00
50,einsteinium,,0.000567891,86629.58
51,nav-coin,,0.001345840,77433.00
52,myriadcoin,,0.000112782,70592.05
53,fedoracoin,,0.000000243,68138.87
54,auroracoin,,0.033390871,67360.74
55,riecoin,,0.008548580,66582.00
56,cloakcoin,,0.011723609,53200.07
57,electronicgulden,,0.008986750,46311.00
58,maza,,0.000059213,34754.74
59,luckycoin,,0.001611370,29205.00
60,bitbar,,1.896756777,27751.45
61,groestlcoin,,0.000518124,27249.17
62,crown,,0.011677700,24794.00
63,curecoin,,0.010518937,16493.97
64,verge,,0.000003974,14745.00
65,bitcoin-plus,,0.264469000,14638.00
66,clams,,0.072046100,12401.00
67,phoenixcoin,,0.000546162,12202.00
68,canada-ecoin,,0.000091885,972.00
69,gamecredits,,0.000010955,376.00
70,globalboost,,0.000005006,74.57
71,blocknet,,0.086986400,0.00
