Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,3562.587662841,58788973716.34
2,ethereum,,306.826433219,28821677184.53
3,ripple,,0.179888000,6899180092.88
4,bitcoin-cash,,322.800257473,5322439751.70
5,nem,,0.289625771,2606631936.18
6,litecoin,,46.514848641,2438265665.15
7,iota,,0.643102965,1787524166.32
8,neo,,33.868638407,1693431920.36
9,dash,,202.125503696,1513171551.94
10,ethereum-classic,,15.150000000,1430796724.20
11,qtum,,14.760000000,870840000.00
12,monero,,49.945100363,745211313.98
13,stratis,,7.426610159,731516741.22
14,omisego,,7.090000000,697032250.16
15,waves,,5.540000000,554000000.00
16,tenx,,4.660000000,487721704.60
17,eos,,1.722528470,477895869.89
18,bitshares,,0.183018216,475439231.48
19,zcash,,234.250000000,454630994.50
20,tether,,0.998880000,319143360.65
21,bytecoin,,0.001545767,283230595.39
22,status,,0.078840085,273613237.43
23,steem,,1.126933065,269275999.38
24,veritaseum,,132.380000000,266154358.54
25,golem,,0.310229000,258430684.33
26,augur,,22.460000000,247060000.00
27,stellar,,0.021541000,237370605.54
28,lisk,,2.135912507,236656264.98
29,siacoin,,0.008096307,230782037.88
30,populous,,6.120000000,226464645.24
31,basic-attention-token,,0.225898868,225898868.11
32,gnosis,,196.420569275,216964196.62
33,civic,,0.609524635,207238375.83
34,dogecoin,,0.001821553,201469747.22
35,byteball,,371.850000000,195714694.95
36,maidsafecoin,,0.368862000,166929387.80
37,gamecredits,,2.510000000,160128793.32
38,decred,,27.099710620,149577530.26
39,digibyte,,0.016729162,146250580.28
40,metal,,7.390000000,142634345.66
41,ardor,,0.139775000,139635154.41
42,funfair,,0.032917000,126383611.77
43,nxt,,0.126023996,125897969.63
44,komodo,,1.130000000,114068426.30
45,pivx,,2.080000000,112386915.68
46,bancor,,2.686859259,109550965.97
47,aragon,,2.826160292,94973588.59
48,ark,,0.876432000,84865669.55
49,bitmark,,0.174888883,73820597.34
50,nexus,,1.252460947,64650372.06
51,syscoin,,0.113757123,59922059.54
52,blocknet,,13.341997675,52869426.93
53,iexec-rlc,,0.616349719,48735261.02
54,melon,,78.630000000,47130822.00
55,peercoin,,1.822666504,44220280.73
56,emercoin,,1.090000000,44181742.81
57,nolimitcoin,,0.207535708,42173057.44
58,numeraire,,33.483789913,41949094.71
59,mysterium,,1.903264827,36978578.01
60,lunyr,,15.045682840,34572767.45
61,tokencard,,1.399571991,33091558.53
62,ethos,,0.459709443,32430774.10
63,verge,,0.002387418,32014014.45
64,zcoin,,11.510000000,31619569.89
65,humaniq,,0.187247051,30494832.35
66,lbry-credits,,0.433111917,29678787.93
67,reddcoin,,0.001033399,29541162.25
68,namecoin,,1.836849722,27068552.24
69,cloakcoin,,5.250000000,26672163.00
70,quantum-resistant-ledger,,0.507408989,26385267.44
71,counterparty,,10.054823866,26324715.35
72,potcoin,,0.119857558,26077527.14
73,viacoin,,1.107173454,25227043.47
74,skycoin,,3.610000000,21057238.30
75,monacoin,,0.391678636,20822703.61
76,patientory,,0.295898427,20712889.87
77,blackcoin,,0.269102401,20533951.04
78,vertcoin,,0.511475631,19677848.49
79,chronobank,,27.050000000,19208556.65
80,agoras-currency-of-tau,,0.445323458,18703585.23
81,digitalnote,,0.002617299,18020942.43
82,nav-coin,,0.286092012,17626383.48
83,santiment-network-token,,0.293421467,17230271.05
84,omni,,28.800000000,16113801.60
85,wagerr,,0.087908000,16087164.00
86,radium,,4.329121782,14372571.76
87,crown,,0.964940000,14258150.29
88,clams,,5.323550916,13642797.02
89,signum,,0.007347245,13225799.22
90,gridcoin-research,,0.032694527,12761091.03
91,unobtanium,,63.274407708,12515045.10
92,nano,,0.114775000,11827907.27
93,einsteinium,,0.052393704,11122467.30
94,feathercoin,,0.057346278,9840320.73
95,bitcoin-plus,,91.920459579,9137629.05
96,infinitecoin,,0.000099946,9054724.98
97,groestlcoin,,0.129335588,8813612.05
98,diamond,,3.881653014,8634174.29
99,worldcoin,,0.073090083,8404671.59
100,zencash,,5.169314699,8284798.64
101,primecoin,,0.380586040,7691242.35
102,xtrabytes,,0.010247974,6661183.08
103,solarcoin,,0.160378242,5737476.27
104,circuits-of-value,,0.005672000,5672000.00
105,bean-cash,,0.002708168,5598531.70
106,zetacoin,,0.031207976,5195928.87
107,artbyte,,0.006527446,5165909.62
108,okcash,,0.070740115,5115337.97
109,prizm,,1.060000000,5072927.86
110,auroracoin,,0.573477570,4965248.51
111,novacoin,,2.614654840,4705440.05
112,goldcoin,,0.115364252,4663154.12
113,curecoin,,0.185397062,4400861.46
114,maxcoin,,0.071455952,4277146.12
115,putincoin,,0.018884222,3787530.33
116,vcash,,0.228879158,3491424.98
117,myriadcoin,,0.002287000,3438956.75
118,riecoin,,0.093446674,3384851.23
119,spectrecoin,,0.157571000,3221760.32
120,steem-dollars,,0.880500835,3138785.60
121,zclassic,,1.460000000,2642308.00
122,terracoin,,0.099711000,2097094.83
123,xp,,0.000014000,1978280.20
124,ixcoin,,0.090621000,1902958.35
125,whitecoin,,0.006947046,1724510.53
