Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,1217.580000000,19823480859.00
2,ethereum,,50.759170819,4610962772.62
3,ripple,,0.033259000,1248287808.00
4,litecoin,,10.933778758,554353046.64
5,dash,,72.937503421,527998598.83
6,monero,,21.070967931,301663481.65
7,ethereum-classic,,2.900000000,262967107.70
8,nem,,0.028480509,256324584.70
9,augur,,12.450000000,136950000.00
10,pivx,,1.920000000,101841605.76
11,maidsafecoin,,0.213046000,96414481.17
12,golem,,0.105804000,86759280.00
13,zcash,,71.610000000,79922560.41
14,stratis,,0.702538602,69095487.89
15,tether,,0.999622000,60720811.85
16,decred,,12.165462781,57214864.89
17,steem,,0.238569009,56139227.45
18,dogecoin,,0.000455891,49696660.22
19,gamecredits,,0.786440000,48817024.36
20,waves,,0.430782000,43078200.00
21,bytecoin,,0.000206166,37680959.98
22,lisk,,0.345011445,36524015.63
23,stellar,,0.003670000,34194309.38
24,ardor,,0.031654000,31622330.01
25,bitshares,,0.011446254,29715275.80
26,siacoin,,0.000864487,21756634.56
27,ark,,0.210742000,19757062.50
28,peercoin,,0.817188211,19626764.74
29,emercoin,,0.481079000,19201434.09
30,nxt,,0.019212813,19193600.00
31,komodo,,0.182055000,18360029.74
32,byteball,,108.280000000,17354685.28
33,melon,,27.360000000,16399584.00
34,nexus,,0.329233632,16022931.69
35,syscoin,,0.030407260,15938525.81
36,zcoin,,6.980000000,13352935.44
37,namecoin,,0.790793318,11653446.65
38,potcoin,,0.053803598,11650607.74
39,counterparty,,4.276415412,11201886.29
40,digibyte,,0.001107998,8982573.52
41,monacoin,,0.184824970,8964805.80
42,neo,,0.179105000,8955250.00
43,agoras-currency-of-tau,,0.178679865,7504554.33
44,blackcoin,,0.095330644,7253003.96
45,crown,,0.539682000,7183043.29
46,chronobank,,9.680000000,6873893.84
47,gridcoin-research,,0.015992413,6224497.30
48,nav-coin,,0.097142749,5916700.52
49,radium,,1.763969589,5645410.04
50,lbry-credits,,0.082034484,5073517.81
51,zclassic,,4.240000000,4937535.12
52,bitcoin-plus,,51.552921638,4913302.75
53,viacoin,,0.197242022,4447094.57
54,novacoin,,2.594386820,4402822.31
55,blocknet,,1.117994132,4371933.94
56,signum,,0.002298070,4017017.11
57,omni,,7.170000000,4005269.55
58,clams,,1.755282763,3898958.70
59,solarcoin,,0.109570634,3833474.80
60,vertcoin,,0.111570184,3726709.35
61,curecoin,,0.137482318,3633837.75
62,primecoin,,0.190640676,3579927.24
63,feathercoin,,0.018789902,2985962.67
64,goldcoin,,0.070315245,2823030.52
65,einsteinium,,0.011661822,2446653.39
66,bitmark,,0.562181038,2193169.42
67,vcash,,0.122807228,1867901.86
68,groestlcoin,,0.025934454,1744157.83
69,reddcoin,,0.000060923,1722850.68
70,cloakcoin,,0.335921000,1672777.41
71,myriadcoin,,0.001113000,1642229.83
72,auroracoin,,0.178984260,1549670.60
73,diamond,,0.696273123,1426234.03
74,unobtanium,,7.082012740,1400000.61
75,digitalnote,,0.000190507,1310475.86
76,steem-dollars,,1.189550000,1246699.00
77,riecoin,,0.035054128,1153977.52
78,verge,,0.000085231,1142897.37
79,okcash,,0.012710597,901030.81
80,fedoracoin,,0.000002000,886336.36
81,worldcoin,,0.007708013,878991.75
82,spectrecoin,,0.042768000,866985.11
83,infinitecoin,,0.000006585,596558.06
84,circuits-of-value,,0.001236000,494400.00
85,freedomcoin,,0.074125000,484395.68
86,digitalcoin,,0.013430209,461862.11
87,zetacoin,,0.002729428,452834.00
88,electronicgulden,,0.027477426,420074.40
89,artbyte,,0.000547911,416508.60
90,bean-cash,,0.000218830,413508.43
91,maza,,0.000377450,412408.50
92,ixcoin,,0.014447000,303373.82
93,terracoin,,0.015010000,292512.48
94,whitecoin,,0.000840130,257570.60
95,canada-ecoin,,0.002366342,230518.50
96,pandacoin,,0.000006696,217716.07
97,maxcoin,,0.003701845,201538.36
98,deutsche-emark,,0.005610000,155921.06
99,bitbar,,3.870000000,115275.69
100,pakcoin,,0.002494000,86792.95
101,unitus,,0.001890000,84649.02
102,litedoge,,0.000006000,82185.58
103,freicoin,,0.002048000,56707.85
104,globalboost,,0.002815000,32086.58
105,hyperstake,,0.000061000,23533.56
106,phoenixcoin,,0.000691000,0.00
