Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,94.000000000,1073073450.00
2,litecoin,,2.862380000,55660708.00
3,namecoin,,0.541443000,3253581.00
4,peercoin,,0.156125000,3064698.00
5,novacoin,,4.110030000,1272602.00
6,feathercoin,,0.082333700,827622.00
7,terracoin,,0.174344000,555577.00
8,freicoin,,0.011746800,265900.00
9,digitalcoin,,0.054674400,261644.00
10,primecoin,,0.155512000,114596.00
11,worldcoin,,0.010192400,113350.00
12,phoenixcoin,,0.030090000,96771.00
13,ixcoin,,0.003936990,55833.00
14,luckycoin,,0.003879300,21323.00
15,infinitecoin,,0.000000321,16821.00
16,bitbar,,3.515620000,15054.00
17,goldcoin,,0.000409669,8362.00
