Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,8752.617087746,160814678353.71
2,ethereum,,188.137226159,20859785783.85
3,ripple,,0.200870332,8860901078.06
4,tether,,1.001242934,8473215858.87
5,bitcoin-cash,,233.195378717,4306066117.36
6,bitcoin-cash-sv,,185.318934557,3385599369.34
7,litecoin,,42.193488728,2729985944.50
8,eos,,2.450372117,2295414022.56
9,binancecoin,,15.319104122,2258003159.31
10,tezos,,2.557168367,1811581831.56
11,cardano,,0.047632324,1484807886.23
12,chainlink,,3.765423622,1429439273.78
13,okb,,4.859765450,1386089402.52
14,stellar,,0.064254330,1300025020.89
15,crypto-com-chain,,0.064795365,1078949761.38
16,leo-token,,1.091149425,1067498358.87
17,monero,,58.881708386,1032600090.61
18,tron,,0.014379072,948220383.95
19,huobi-token,,3.848010786,903197789.35
20,usd-coin,,1.000952459,746986294.52
21,ethereum-classic,,6.265850908,721518325.45
22,neo,,9.741696156,687114056.99
23,dash,,72.384746265,683543616.70
24,iota,,0.185138004,511106511.97
25,cosmos,,2.515755396,470156515.52
26,zcash,,41.010801785,374028566.71
27,nem,,0.037632847,336950857.37
28,dogecoin,,0.002431493,302726858.92
29,ontology,,0.465805477,296446294.46
30,maker,,329.135658756,291855220.85
31,basic-attention-token,,0.197530556,289078512.80
32,ftx-token,,2.749469185,274926846.99
33,vechain,,0.004173137,268739510.76
34,0x,,0.396152539,258842495.09
35,paxos-standard,,1.001849364,250087635.46
36,digibyte,,0.018767463,246296497.34
37,binance-usd,,1.001798916,183967408.92
38,bitcoin-gold,,8.950572399,156625259.51
39,lisk,,1.079454911,151044627.01
40,decred,,13.271810075,149837098.16
41,icon,,0.264831414,143028841.03
42,theta-token,,0.142430192,142480843.17
43,algorand,,0.192533079,142158969.17
44,numeraire,,30.409078007,141549357.93
45,true-usd,,1.004003541,140943165.91
46,hedera-hashgraph,,0.034345009,139893350.97
47,qtum,,1.450404125,139762390.15
48,enjincoin,,0.142480800,131562494.71
49,augur,,11.877608212,130533643.47
50,husd,,1.002866896,124394430.51
51,ravencoin,,0.019196623,117328394.45
52,status,,0.031318521,117317699.38
53,dai,,1.005728727,110301832.61
54,hive,,0.310835293,108417442.66
55,kyber-network,,0.602049038,107971263.89
56,bitcoin-diamond,,0.537128050,100734581.24
57,bytom,,0.061344048,97577121.05
58,waves,,0.961282657,96155397.38
59,omisego,,0.679350379,94853241.80
60,monacoin,,1.294617560,93542736.58
61,dxchain,,0.001710431,85290144.15
62,siacoin,,0.001929773,85158193.61
63,holotoken,,0.000476740,84987519.99
64,tether-gold,,1698.166133596,84330174.22
65,gatechain-token,,0.439090563,82695644.97
66,nano,,0.606300906,80586204.97
67,energi,,2.981162436,80255986.00
68,ethlend,,0.065358233,77036085.23
69,havven,,0.796486196,75764361.56
70,zilliqa,,0.006912639,72147550.04
71,kucoin-shares,,0.881145783,71657754.80
72,nervos-network,,0.003950519,67984597.96
73,republic-protocol,,0.073032876,63842023.88
74,komodo,,0.524644247,62891859.00
75,blockstack,,0.094755625,59804947.15
76,compound-ether,,3.762143511,59482354.27
77,uma,,1.162992285,58797531.36
78,steem,,0.165759819,58289790.01
79,bittorrent-old,,0.000258017,54200791.53
80,nexo,,0.095719667,53922822.11
81,celsius-degree-token,,0.117119699,52708778.35
82,kusama,,6.800359681,52696099.87
83,verge,,0.003239099,52676944.34
84,rocket-pool,,3.180328034,50231929.78
85,bitshares,,0.018440817,49977872.56
86,streamr-xdata,,0.070435088,48774999.86
87,reddcoin,,0.001592190,48140976.11
88,bytecoin,,0.000267911,48014026.22
89,zencash,,5.243424879,47321583.69
90,decentraland,,0.034257144,45712929.16
91,crypterium,,0.532097197,45117386.28
92,v-systems,,0.022628709,44955110.47
93,ripio-credit-network,,0.088567219,44917523.37
94,hshare,,1.002949178,44615217.21
95,maidsafecoin,,0.095396761,43255438.47
96,tierion,,0.101968596,43170774.49
97,matic-network,,0.015371296,42581693.14
98,quant-network,,4.276615914,42404443.69
99,tokenize-xchange,,0.514857892,41156138.64
100,iostoken,,0.003403734,40841836.74
101,chiliz,,0.008502347,40059628.21
102,golem,,0.040748172,39604978.77
103,zcoin,,3.747163724,37785999.28
104,ardor,,0.037020132,36975409.84
105,rif-token,,0.060898356,36662283.83
106,loopring,,0.031019983,36090264.76
107,aeternity,,0.099868797,35481025.02
108,aragon,,1.034996068,34822372.65
109,electroneum,,0.003444368,34723372.37
110,unibright,,0.244791216,34218891.67
111,terra-luna,,0.179541145,33779315.74
112,solve-care,,0.095469885,33018076.27
113,aion,,0.078573250,32734417.62
114,power-ledger,,0.072347596,31076622.32
115,wax,,0.032283531,30503168.77
116,gxchain,,0.463068576,30032121.39
117,swipe,,0.476913394,29870537.29
118,digitex-futures-exchange,,0.034854684,29769836.47
119,aelf,,0.064843331,29663929.61
120,stratis,,0.291220945,29007623.87
121,compound-usd-coin,,0.021046119,28874661.10
122,waykichain,,0.151424250,28853047.05
123,ark,,0.191495030,28564728.53
124,handshake,,0.105407689,28559358.60
125,asd,,0.035539527,27815448.55
