Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,353.390100000,4721892499.17
2,ripple,,0.004787000,138771550.67
3,litecoin,,3.923539191,128425630.07
4,bitshares,,0.027708212,55413196.34
5,dogecoin,,0.000289675,27214544.53
6,nxt,,0.025717815,25717740.81
7,peercoin,,1.044568480,22769473.44
8,dash,,2.344510190,11079754.25
9,namecoin,,1.009237710,10099340.84
10,maidsafecoin,,0.019311000,8739239.63
11,counterparty,,2.853789167,7555837.74
12,monero,,1.089599715,4263081.77
13,blackcoin,,0.046298204,3457896.06
14,stellar,,0.002461635,3298813.99
15,bytecoin,,0.000014136,2308644.12
16,omni,,3.430000000,1931645.66
17,feathercoin,,0.031611247,1788517.88
18,primecoin,,0.223972205,1559765.95
19,reddcoin,,0.000051286,1402933.07
20,pandacoin,,0.000042784,1379613.73
21,zetacoin,,0.008395487,1351601.32
22,viacoin,,0.079548097,911317.31
23,novacoin,,0.957864917,811112.35
24,maxcoin,,0.021548651,784952.41
25,monacoin,,0.060847673,779060.14
26,worldcoin,,0.011173048,734583.78
27,ixcoin,,0.031846881,667686.99
28,digitalnote,,0.000102140,659178.83
29,infinitecoin,,0.000007089,642199.39
30,vcash,,0.592791000,592791.00
31,unobtanium,,2.837841561,544059.63
32,emercoin,,0.174257000,522771.00
33,bitmark,,0.507901119,456064.73
34,syscoin,,0.001124768,420252.02
35,vertcoin,,0.043792780,373788.89
36,potcoin,,0.002090944,305514.49
37,hyperstake,,0.009937177,249772.08
38,cloakcoin,,0.054545417,247298.77
39,solarcoin,,0.007395190,241260.00
40,whitecoin,,0.000711655,215897.25
41,goldcoin,,0.006456029,211080.89
42,terracoin,,0.030981327,204914.71
43,digitalcoin,,0.010687262,186109.18
44,digibyte,,0.000063321,123438.36
45,myriadcoin,,0.000181868,113834.10
46,freicoin,,0.002474566,113737.46
47,auroracoin,,0.047933093,91044.26
48,diamond,,0.137519000,84751.00
49,signum,,0.000480443,84485.00
50,fedoracoin,,0.000000288,80895.70
51,swarm,,0.002170440,69585.00
52,riecoin,,0.009639100,66130.00
53,groestlcoin,,0.000987958,51008.43
54,artbyte,,0.000494746,46370.01
55,nav-coin,,0.000802504,45857.00
56,deutsche-emark,,0.002945010,37784.00
57,maza,,0.000063610,35527.78
58,bitcoin-plus,,0.632217000,34993.00
59,bitbar,,2.127866532,29743.32
60,luckycoin,,0.001682920,29671.00
61,einsteinium,,0.000194855,27974.79
62,clams,,0.247534000,26972.00
63,curecoin,,0.010957292,17181.32
64,phoenixcoin,,0.000729675,15128.00
65,electronicgulden,,0.002409760,11041.00
66,gamecredits,,0.000038407,1138.00
67,canada-ecoin,,0.000035892,379.00
68,globalboost,,0.000007033,104.76
