Rank,ID,Name,Price (USD),Market Cap (USD)
1,bitcoin,,3883.652001349,64328714659.05
2,ethereum,,277.333657931,26236732489.43
3,bitcoin-cash,,513.611255509,8515308925.13
4,ripple,,0.200845000,7701168922.99
5,litecoin,,61.905245006,3275871235.93
6,dash,,300.814364853,2272898893.43
7,nem,,0.234777788,2113000089.19
8,monero,,110.841730669,1671298217.05
9,iota,,0.565750548,1572520781.30
10,ethereum-classic,,14.130000000,1349232609.96
11,omisego,,10.590000000,1041124334.16
12,neo,,20.143343013,1007167150.66
13,lisk,,6.573178133,737538062.42
14,qtum,,11.940000000,704460000.00
15,stratis,,5.015018607,494189998.67
16,zcash,,197.690000000,430384770.61
17,tether,,1.000000000,413700492.00
18,waves,,3.940000000,394000000.00
19,ark,,3.610000000,352119797.10
20,bitshares,,0.113888169,296015850.55
21,steem,,1.185408758,286037821.11
22,bytecoin,,0.001541352,282458225.31
23,stellar,,0.015433000,255988720.70
24,eos,,0.735021543,252445206.86
25,tenx,,2.350000000,245954078.50
26,maidsafecoin,,0.536473000,242782150.12
27,golem,,0.272414000,226929579.25
28,augur,,20.520000000,225720000.00
29,metal,,10.070000000,194361009.58
30,basic-attention-token,,0.192606339,192606339.15
31,nexus,,3.553179175,186150090.52
32,bitmark,,0.185704230,183290074.56
33,siacoin,,0.005921352,173913584.15
34,komodo,,1.720000000,173626277.20
35,veritaseum,,81.060000000,163022522.04
36,pivx,,2.950000000,160077826.50
37,byteball,,268.450000000,156746881.20
38,decred,,26.898159290,154574333.98
39,dogecoin,,0.001383578,153661912.30
40,populous,,3.290000000,135719889.34
41,civic,,0.396510046,134813419.47
42,gnosis,,117.924674663,130258416.39
43,digibyte,,0.014761855,129051883.06
44,syscoin,,0.225737541,119072086.89
45,ardor,,0.117713000,117595227.55
46,bancor,,2.851765302,116274658.78
47,gamecredits,,1.550000000,99444081.60
48,status,,0.026289302,91236596.58
49,verge,,0.006407271,85918117.98
50,funfair,,0.021005000,80647925.55
51,nxt,,0.077338158,77260814.92
52,blocknet,,18.258990243,76904146.31
53,ethos,,0.864198051,61502319.64
54,aragon,,1.787008978,58999279.04
55,nav-coin,,0.946308569,58447908.42
56,okcash,,0.633541695,45967981.04
57,pillar,,0.076479141,42828318.70
58,nolimitcoin,,0.203444749,41414478.21
59,iexec-rlc,,0.513232270,40581682.60
60,cloakcoin,,7.780000000,39637567.34
61,melon,,65.470000000,39242718.00
62,patientory,,0.544882096,38141746.72
63,peercoin,,1.409128976,34279610.04
64,emercoin,,0.789828000,32162250.31
65,tokencard,,1.355461243,32048601.52
66,counterparty,,11.952757152,31290274.30
67,reddcoin,,0.001087113,31109649.59
68,lunyr,,12.664415864,29100965.99
69,quantum-resistant-ledger,,0.557685668,28999654.74
70,vertcoin,,0.703930278,27751571.30
71,monacoin,,0.476772621,25706292.43
72,zcoin,,8.500000000,25366643.50
73,numeraire,,17.141894237,21431567.56
74,crown,,1.400000000,21257790.40
75,viacoin,,0.927751158,21173243.63
76,namecoin,,1.369215846,20177312.39
77,signum,,0.010449488,18812629.81
78,potcoin,,0.082018702,17876517.57
79,mysterium,,0.907365846,17629232.79
80,humaniq,,0.105153249,17125140.41
81,radium,,5.103960984,17072708.66
82,clams,,6.453128777,16874447.77
83,wagerr,,0.091313000,16710279.00
84,santiment-network-token,,0.281129188,16670723.03
85,unobtanium,,83.622883035,16541776.98
86,lbry-credits,,0.239590240,16417807.13
87,omni,,27.900000000,15616439.10
88,skycoin,,2.640000000,15495559.20
89,digitalnote,,0.002243942,15451102.74
90,diamond,,6.408025802,14603557.59
91,zencash,,6.814680353,14481454.71
92,chronobank,,18.740000000,13307517.62
93,blackcoin,,0.170609241,13029302.65
94,agoras-currency-of-tau,,0.305449230,12828867.66
95,gridcoin-research,,0.030932982,12073537.45
96,vcash,,0.760423469,11599839.50
97,groestlcoin,,0.161005887,11009200.50
98,nano,,0.090344000,10125707.55
99,prizm,,1.140000000,9883257.36
100,einsteinium,,0.039474741,8449298.09
101,bitcore,,9.490000000,8321496.30
102,xtrabytes,,0.018027072,7625451.47
103,spectrecoin,,0.371423000,7594264.71
104,feathercoin,,0.042822412,7500977.53
105,fedoracoin,,0.000016000,7090690.92
106,bitcoin-plus,,63.923464818,6427184.77
107,solarcoin,,0.172765228,6325802.45
108,bean-cash,,0.002639438,5595011.42
109,novacoin,,2.949591209,5420965.20
110,artbyte,,0.006483963,5138782.57
111,auroracoin,,0.584700768,5062420.52
112,circuits-of-value,,0.004890000,4890000.00
113,curecoin,,0.202822386,4819611.58
114,putincoin,,0.023550109,4724756.19
115,goldcoin,,0.114175597,4623356.30
116,primecoin,,0.207773589,4281529.05
117,steem-dollars,,0.953698316,3397599.84
118,myriadcoin,,0.002173000,3286619.58
119,zclassic,,1.640000000,2968072.00
120,whitecoin,,0.011223754,2787100.48
121,terracoin,,0.120530000,2562231.56
122,infinitecoin,,0.000021395,1938322.27
123,worldcoin,,0.016690198,1924342.22
124,riecoin,,0.050914678,1892031.43
125,maxcoin,,0.026268073,1581759.02
