symbol,market_cap,volume_24h,price,date_label,rank
BTC,1777644915242.838,122584.65664275,89862.2929149011,2023-03-13_t100,1
ETH,383663818470.12476,1627770.70717434,3186.01361837677,2023-03-13_t100,2
DOGE,57692170005.95224,3712092086.6046,0.393048886024153,2023-03-13_t100,3
PEPE,9644335040.758564,5519010933836.09,2.2925045361818e-05,2023-03-13_t100,4
SOL,126009485244.13356,3222433.3084007,214.175577143612,2023-03-13_t100,5
XRP,69954087546.59868,710800510.54838,0.699631538058404,2023-03-13_t100,6
USDC,36690278892.354836,107012817.993713,0.999999998935824,2023-03-13_t100,7
SHIB,14976371868.84774,11266403513271.2,2.5400622656846e-05,2023-03-13_t100,8
WIF,4081295336.9459314,15494545.7169488,4.08601515918507,2023-03-13_t100,9
SUI,33106531274.269302,66501096.2995755,3.31065312742693,2023-03-13_t100,10
USDT,132085583479.95555,1830681016.83556,1.00095150968655,2023-03-13_t100,11
BONK,3481981136.862932,11526298382186.2,3.75569346188149e-05,2023-03-13_t100,12
BNB,87270377330.64677,2966.39250494,614.3,2023-03-13_t100,13
ADA,25881940661.107677,164617266.131693,0.575154236913504,2023-03-13_t100,14
FDUSD,,,,2023-03-13_t100,15
AVAX,14632042022.121912,1628301.55586134,32.7082684565755,2023-03-13_t100,16
FLOKI,2268552743.7118473,9243705151.60546,0.000234276328924956,2023-03-13_t100,17
BOME,770529981.1155648,54689857.590894,0.0111739770911928,2023-03-13_t100,18
NEIRO,,,,2023-03-13_t100,19
WLD,1471645510.3996687,393638.0,2.2955,2023-03-13_t100,20
NEAR,6208292348.310009,4789660.07811813,5.08809263416504,2023-03-13_t100,21
TRX,15377907748.122646,103560754.584923,0.177997523350316,2023-03-13_t100,22
LTC,5617164482.148547,632916.55357454,74.7032879919237,2023-03-13_t100,23
APT,12849245536.950882,2294586.44560313,11.4129139022192,2023-03-13_t100,24
PEOPLE,377898684.7959486,36573599.4,0.07458570311936792,2023-03-13_t100,25
FET,3396090363.731993,40110090.5865741,1.24879499376262,2023-03-13_t100,26
BCH,8632981669.946093,63318.65739031,436.276686195873,2023-03-13_t100,27
LINK,13356732387.8436,4259047.36258024,13.3567323878436,2023-03-13_t100,28
ARB,6093504671.867474,17580675.9091353,0.609350529484904,2023-03-13_t100,29
DOT,7644606025.8777,5975983.97085383,5.03501999288886,2023-03-13_t100,30
AGLD,140962839.43498498,9152574.14823574,1.82334546128107,2023-03-13_t100,31
MEW,968593955.6999027,196255487.2,0.010897,2023-03-13_t100,32
ONDO,8618251419.00872,53339191.651642,0.861825141900872,2023-03-13_t100,33
SEI,3961027974.8013277,71084650.4510425,0.447226759216619,2023-03-13_t100,34
RAY,2762785996.7640386,222128.68113654,4.978,2023-03-13_t100,35
ENA,8576333337.701264,1424762.82567126,0.571755555846751,2023-03-13_t100,36
FIL,2421690277.3590426,1796057.18342461,4.04442189147431,2023-03-13_t100,37
OP,6971174116.873216,8411765.89201464,1.62310446895375,2023-03-13_t100,38
FTM,2211397953.4626656,13337431.4116161,0.696503292429186,2023-03-13_t100,39
ORDI,874152300.0,6252.3,41.6263,2023-03-13_t100,40
TURBO,646083791.1761025,165968422.479627,0.00936353320545076,2023-03-13_t100,41
TON,27265096562.306076,84772.7345769,5.33032001630786,2023-03-13_t100,42
UNI,8564895886.53057,2228300.32645908,8.56489588653057,2023-03-13_t100,43
MEME,970829819.7025514,4508009.27918,0.0140699973869935,2023-03-13_t100,44
POL,3814559537.543332,19322672.8584375,0.370585175304684,2023-03-13_t100,45
WBTC,0.0,976.15462138,89692.50248398275,2023-03-13_t100,46
RENDER,2644338773.5758867,3453675.183,6.85299243776684,2023-03-13_t100,47
DOGS,367040324.146716,85347000.0,0.0006732,2023-03-13_t100,48
XLM,6166100358.270088,248732894.159286,0.123317599988512,2023-03-13_t100,49
ETC,3344887311.8995733,309096.28509127,22.3681582165486,2023-03-13_t100,50
NOT,761792070.7807648,8063619.74360096,0.00743524001804578,2023-03-13_t100,51
TAO,4126593068.0487175,10502.19439,533.950545002814,2023-03-13_t100,52
MASK,283574723.087395,302500.06763238,2.83574723087395,2023-03-13_t100,53
AAVE,2736351249.598368,100368.8922035,171.021953099898,2023-03-13_t100,54
TIA,5362545815.85036,4143267.84718309,5.01483961142958,2023-03-13_t100,55
RUNE,2288061102.6070848,278188.14985768,5.51576564679336,2023-03-13_t100,56
HIVE,108027079.48885493,9728523.22809225,0.2352437150789778,2023-03-13_t100,57
INJ,2374343700.8025603,1271033.30125635,23.7434370080256,2023-03-13_t100,58
POPCAT,1807335396.4266016,7859313.82139,1.82199266478448,2023-03-13_t100,59
PYTH,4012271753.909187,2639606.87082,0.401227631498196,2023-03-13_t100,60
ATOM,2157597187.769722,1422175.92513849,5.10268380914182,2023-03-13_t100,61
STX,2944703673.715302,9468094.78884827,1.92705694368428,2023-03-13_t100,62
CRV,670117612.6866865,42294243.899082,0.305729497325219,2023-03-13_t100,63
GALA,1004259121.149084,217848786.336546,0.0265936915405416,2023-03-13_t100,64
ETHFI,1551921798.640342,121800.7,1.551921798640342,2023-03-13_t100,65
JUP,11454149041.343456,3130625.80322525,1.14541726017692,2023-03-13_t100,66
HBAR,2973878809.839615,382944575.166835,0.0594775761967923,2023-03-13_t100,67
GRASS,,,,2023-03-13_t100,68
FTN,,,,2023-03-13_t100,69
ARK,113319420.44432157,53193.6863195,0.6134146105948222,2023-03-13_t100,70
PENDLE,1377109065.7659411,93289.71115,5.32842030933601,2023-03-13_t100,71
